repeat_number,repeat_measurement_range,measurement_in_repeat,dataset_row,inference_ms,compute_ms,cycle_ms,period_ms,start_jitter_ms,lateness_ms,deadline_miss
4,121–160,11,11,0.28377600006024295,0.7745430000341003,0.8049239999081692,100,0.18575100000362,0.0,0
4,121–160,12,12,0.37930099995264754,0.8783160000120915,0.9108670000159691,100,0.18393799996374582,0.0,0
4,121–160,13,13,0.4316690000223389,1.0774889999538573,1.1076570000341235,100,0.18515899989779427,0.0,0
4,121–160,14,14,0.3299050000578063,0.8702650000032008,0.9002940000755189,100,0.17295199995714938,0.0,0
4,121–160,15,15,0.2767149999272078,0.8018220000849396,0.8337820000861029,100,0.11058300003696786,0.0,0
4,121–160,16,16,0.27190699995571777,0.7612880000351652,0.7934909999676165,100,0.10672600001271348,0.0,0
4,121–160,17,17,0.34830900005999865,0.837971999999354,0.8694410000771313,100,0.1001679999035332,0.0,0
4,121–160,18,18,0.28642000006584567,0.805260999982238,0.836832000004506,100,0.1145529998893835,0.0,0
4,121–160,19,19,0.2714359999345106,0.8237309999685749,0.8606359999703272,100,0.16097499997158593,0.0,0
4,121–160,20,20,0.2901340000107666,0.805010999897604,0.8501539999770102,100,0.19804600003681117,0.0,0
4,121–160,21,21,0.3963839999414631,0.9432099999457932,0.9729249999281819,100,0.18141199996080104,0.0,0
4,121–160,22,22,0.4205069999443367,0.9557570000424676,0.9893300000385352,100,0.19605699992553127,0.0,0
4,121–160,23,23,0.38713300000381423,1.0269020000350793,1.065172000039638,100,0.24775499991847028,0.0,0
4,121–160,24,24,0.33227799997348484,0.8303990000513295,0.863650000042071,100,0.210726999966937,0.0,0
4,121–160,25,25,0.4297479999877396,0.929769999970631,0.9630619999825285,100,0.10720900002070266,0.0,0
4,121–160,26,26,0.6565569999565923,1.2930840000535682,1.3319419999788806,100,0.1873749999958818,0.0,0
4,121–160,27,27,0.506618000031267,1.4100969999617519,1.4860290000342502,100,0.1087449999204182,0.0,0
4,121–160,28,28,0.5049330000019836,1.1612480000167125,1.2017489999607278,100,0.1818249999132604,0.0,0
4,121–160,29,29,0.36593200002243975,1.2122030000227824,1.2494530000140003,100,0.18253700000059325,0.0,0
4,121–160,30,30,0.4213859999708802,1.0484869999345392,1.0865169999760838,100,0.12412800003858138,0.0,0
4,121–160,31,31,0.3657040000462075,0.9660000000621949,1.0040299999900526,100,0.19040400002268143,0.0,0
4,121–160,32,32,0.5754439999918759,1.1839339999824006,1.218765000089661,100,0.16882499994608224,0.0,0
4,121–160,33,33,0.5152999999609165,1.1185619999878327,1.1565939998945396,100,0.17027799992774817,0.0,0
4,121–160,34,34,0.36439499990592594,1.1782090000451717,1.2175140000181273,100,0.19846199995754432,0.0,0
4,121–160,35,35,0.44798299995818525,1.0428769999180076,1.0814779999464008,100,0.1843080000298869,0.0,0
4,121–160,36,36,0.5129850000002989,1.1586849999503102,1.1934369999835326,100,0.1705039999251312,0.0,0
4,121–160,37,37,0.5794410000135031,1.1571899999580637,1.1924220000310015,100,0.24345599990738265,0.0,0
4,121–160,38,38,0.522393999972337,1.105738999967798,1.1403229999586983,100,0.17328599994925753,0.0,0
4,121–160,39,39,0.5700120000255993,1.187215999948421,1.2272230000007767,100,0.1908899999989444,0.0,0
4,121–160,40,40,0.5382150000059482,1.1293759999944086,1.1698349999278435,100,0.184695000029933,0.0,0
5,161–200,1,1,0.5155190000323273,1.1467680000123437,1.1835860000246612,100,0.21088199991936563,0.0,0
5,161–200,2,2,0.3467870000122275,1.0254050000639836,1.0646169999972699,100,0.3138719999924433,0.0,0
5,161–200,3,3,0.3999970000450048,1.2249169999449805,1.2655309999445308,100,0.17382599992288306,0.0,0
5,161–200,4,4,0.41060299997752736,1.2114019999671655,1.250502000061715,100,0.18078300001889147,0.0,0
5,161–200,5,5,0.3735430000233464,1.2084029999641643,1.2585729999727846,100,0.4018890000452302,0.0,0
5,161–200,6,6,0.4908319999685773,1.092911999990065,1.1360380000269288,100,0.18409799997698428,0.0,0
5,161–200,7,7,0.38646600000902254,1.2288660000194795,1.267512000026727,100,0.18479099992418924,0.0,0
5,161–200,8,8,0.531805999912649,1.1470569999119107,1.1857580000196322,100,0.2040889999079809,0.0,0
5,161–200,9,9,0.5315070000051492,1.1431099999299477,1.1787669999421269,100,0.18531900002471957,0.0,0
5,161–200,10,10,0.4296300000987685,1.0233730000663854,1.0728029999427235,100,0.11684499997954845,0.0,0
5,161–200,11,11,0.3756560000738318,1.1526900000262685,1.1899470000571455,100,0.16855399996984488,0.0,0
5,161–200,12,12,0.3753990000632257,0.996705000034126,1.0412230000156342,100,0.22893399989243335,0.0,0
5,161–200,13,13,0.48549400003139453,1.0777510000252732,1.121673999932682,100,0.11519699990003573,0.0,0
5,161–200,14,14,0.4642119999971328,1.275969000062105,1.3314709999576735,100,0.17184099999667524,0.0,0
5,161–200,15,15,0.44243799993637367,1.2286529999983031,1.281530000028397,100,0.3652619999456874,0.0,0
5,161–200,16,16,0.48223399994640204,1.2767119999352872,1.3287439999203343,100,0.11368999992100726,0.0,0
5,161–200,17,17,0.4840789999889239,1.2019300000929434,1.2498359999426611,100,0.09915399994042673,0.0,0
5,161–200,18,18,0.4000059999498262,0.993958000094608,1.0365179999780594,100,0.09227299995018257,0.0,0
5,161–200,19,19,0.4076140000961459,1.015352999957031,1.056770999980472,100,0.08666500002618704,0.0,0
5,161–200,20,20,0.5850649999956659,1.6306640000038897,1.7163769999797296,100,0.08762599998135556,0.0,0
5,161–200,21,21,0.4958550000537798,1.2771830000701812,1.3264650000337497,100,0.11800499999026215,0.0,0
5,161–200,22,22,0.4055629999584198,1.015662999975575,1.0683560000188663,100,0.15580399997361383,0.0,0
5,161–200,23,23,0.47386500000357046,1.1298790000182635,1.1760780000713567,100,0.17129599996223988,0.0,0
5,161–200,24,24,0.4634699999996883,1.0938240000086807,1.139589999979762,100,0.1097919999892838,0.0,0
5,161–200,25,25,0.4178090000550583,1.0270299999319832,1.0668289999102853,100,0.16921999997521198,0.0,0
5,161–200,26,26,0.42034199998397526,1.0285209999665312,1.0767500000383734,100,0.15743899996323307,0.0,0
5,161–200,27,27,0.42983599996659905,1.0706220000429312,1.1109200000873898,100,0.2026779999368955,0.0,0
